date,sales
2022-10-31,1542.46
2022-11-01,1653.93
2022-11-02,1657.99
2022-11-03,1558.85
2022-11-04,1775.95
2022-11-05,1807.38
2022-11-06,1605.92
2022-11-07,1648.68
2022-11-08,1568.33
2022-11-09,1597.68
2022-11-10,1631.63
2022-11-11,1622.59
2022-11-12,1575.35
2022-11-13,1643.13
2022-11-14,1645.08
2022-11-15,1685.01
2022-11-16,1730.99
2022-11-17,1720.98
2022-11-18,1410.45
2022-11-19,1784.79
2022-11-20,1568.44
2022-11-21,1699.52
2022-11-22,1589.56
2022-11-23,1477.04
2022-11-24,1728.34
2022-11-25,1618.45
2022-11-26,1565.21
2022-11-27,1739.73
2022-11-28,1507.68
2022-11-29,1575.18
2022-11-30,1529.33
2022-12-01,1676.89
2022-12-02,1453.78
2022-12-03,1743.84
2022-12-04,1864.57
2022-12-05,1504.45
2022-12-06,1588.8
2022-12-07,1589.63
2022-12-08,1519.99
2022-12-09,1628.87
2022-12-10,1736.85
2022-12-11,1655.81
2022-12-12,1724.68
2022-12-13,1649.62
2022-12-14,1575.67
2022-12-15,1541.03
2022-12-16,1532.31
2022-12-17,1846.8
2022-12-18,1740.04
2022-12-19,1642.12
2022-12-20,1594.39
2022-12-21,1662.4
2022-12-22,1607.92
2022-12-23,1682.58
2022-12-24,1761.26
2022-12-25,1846.89
2022-12-26,1689.08
2022-12-27,1630.89
2022-12-28,1576.53
2022-12-29,1575.35
2022-12-30,1596.71
2022-12-31,1732.77
2023-01-01,1886.51
2023-01-02,1669.38
2023-01-03,1804.74
2023-01-04,1867.64
2023-01-05,1693.55
2023-01-06,1574.24
2023-01-07,1824.17
2023-01-08,1855.4
2023-01-09,1599.25
2023-01-10,1705.31
2023-01-11,1755.47
2023-01-12,1703.06
2023-01-13,1685.78
2023-01-14,1844.11
2023-01-15,2055.44
2023-01-16,1757.55
2023-01-17,1711.87
2023-01-18,1756.5
2023-01-19,1870.87
2023-01-20,1748.05
2023-01-21,1999.79
2023-01-22,2028.0
2023-01-23,1888.34
2023-01-24,1949.14
2023-01-25,1801.98
2023-01-26,1945.6
2023-01-27,1800.61
2023-01-28,1991.47
2023-01-29,2128.14
2023-01-30,1957.59
2023-01-31,1901.4
2023-02-01,1815.45
2023-02-02,1965.3
2023-02-03,1879.63
2023-02-04,2015.92
2023-02-05,2047.83
2023-02-06,1979.33
2023-02-07,1799.92
2023-02-08,2008.53
2023-02-09,2003.71
2023-02-10,1953.22
2023-02-11,2243.19
2023-02-12,2219.46
2023-02-13,1982.41
2023-02-14,1987.72
2023-02-15,2107.4
2023-02-16,1941.01
2023-02-17,2046.24
2023-02-18,2182.95
2023-02-19,2249.65
2023-02-20,2121.61
2023-02-21,2118.36
2023-02-22,2216.92
2023-02-23,2155.12
2023-02-24,2122.44
2023-02-25,2211.55
2023-02-26,2376.97
2023-02-27,2222.28
2023-02-28,2306.91
2023-03-01,2141.88
2023-03-02,2214.61
2023-03-03,2218.63
2023-03-04,2377.14
2023-03-05,2395.8
2023-03-06,2118.62
2023-03-07,2332.58
2023-03-08,2329.62
2023-03-09,2378.56
2023-03-10,2478.83
2023-03-11,2434.07
2023-03-12,2467.38
2023-03-13,2331.72
2023-03-14,2496.94
2023-03-15,2213.66
2023-03-16,2401.57
2023-03-17,2255.55
2023-03-18,2327.15
2023-03-19,2382.42
2023-03-20,2293.91
2023-03-21,2500.28
2023-03-22,2355.54
2023-03-23,2417.01
2023-03-24,2352.25
2023-03-25,2654.27
2023-03-26,2527.24
2023-03-27,2580.73
2023-03-28,2405.72
2023-03-29,2433.75
2023-03-30,2514.45
2023-03-31,2516.22
2023-04-01,2787.74
2023-04-02,2692.84
2023-04-03,2445.92
2023-04-04,2506.98
2023-04-05,2515.14
2023-04-06,2628.02
2023-04-07,2609.68
2023-04-08,2728.28
2023-04-09,2816.15
2023-04-10,2562.95
2023-04-11,2602.86
2023-04-12,2636.64
2023-04-13,2752.74
2023-04-14,2630.78
2023-04-15,2768.67
2023-04-16,2721.01
2023-04-17,2717.38
2023-04-18,2623.17
2023-04-19,2705.25
2023-04-20,2533.05
2023-04-21,2775.94
2023-04-22,2743.09
2023-04-23,2794.49
2023-04-24,2798.25
2023-04-25,2613.56
2023-04-26,2720.57
2023-04-27,2739.33
2023-04-28,2659.82
2023-04-29,3003.31
2023-04-30,3021.79
2023-05-01,2600.03
2023-05-02,2647.55
2023-05-03,2833.69
2023-05-04,2670.2
2023-05-05,2748.6
2023-05-06,2945.14
2023-05-07,2995.06
2023-05-08,2776.62
2023-05-09,2806.7
2023-05-10,2741.39
2023-05-11,2911.19
2023-05-12,2772.29
2023-05-13,2993.04
2023-05-14,2928.7
2023-05-15,2831.75
2023-05-16,2813.22
2023-05-17,2816.95
2023-05-18,2751.94
2023-05-19,2899.67
2023-05-20,3101.83
2023-05-21,3010.74
2023-05-22,2902.27
2023-05-23,2912.96
2023-05-24,2922.2
2023-05-25,2874.1
2023-05-26,2868.51
2023-05-27,3072.17
2023-05-28,3009.9
2023-05-29,2777.65
2023-05-30,2858.46
2023-05-31,2706.29
2023-06-01,2857.52
2023-06-02,2891.52
2023-06-03,3107.61
2023-06-04,3020.93
2023-06-05,2933.0
2023-06-06,2858.45
2023-06-07,2776.19
2023-06-08,2744.54
2023-06-09,2779.09
2023-06-10,2896.41
2023-06-11,3055.27
2023-06-12,2836.65
2023-06-13,2897.39
2023-06-14,2855.98
2023-06-15,2931.79
2023-06-16,2931.08
2023-06-17,2942.46
2023-06-18,2969.79
2023-06-19,2796.58
2023-06-20,2706.81
2023-06-21,2887.67
2023-06-22,2925.73
2023-06-23,2826.92
2023-06-24,2934.62
2023-06-25,3057.82
2023-06-26,2629.27
2023-06-27,2827.21
2023-06-28,2820.47
2023-06-29,2759.17
2023-06-30,2911.83
2023-07-01,3023.68
2023-07-02,2920.49
2023-07-03,2779.66
2023-07-04,2750.61
2023-07-05,2735.59
2023-07-06,2666.66
2023-07-07,2876.32
2023-07-08,2992.63
2023-07-09,2968.56
2023-07-10,2661.34
2023-07-11,2909.4
2023-07-12,2895.25
2023-07-13,2745.64
2023-07-14,2651.9
2023-07-15,2798.42
2023-07-16,2894.59
2023-07-17,2631.31
2023-07-18,2694.73
2023-07-19,2777.56
2023-07-20,2562.79
2023-07-21,2836.55
2023-07-22,2944.07
2023-07-23,2712.29
2023-07-24,2540.58
2023-07-25,2623.3
2023-07-26,2555.68
2023-07-27,2609.17
2023-07-28,2415.76
2023-07-29,2745.85
2023-07-30,2900.17
2023-07-31,2508.31
2023-08-01,2567.4
2023-08-02,2461.59
2023-08-03,2623.25
2023-08-04,2545.52
2023-08-05,2860.07
2023-08-06,2712.55
2023-08-07,2507.34
2023-08-08,2572.18
2023-08-09,2478.63
2023-08-10,2402.88
2023-08-11,2525.02
2023-08-12,2627.66
2023-08-13,2645.67
2023-08-14,2503.06
2023-08-15,2422.81
2023-08-16,2487.93
2023-08-17,2583.73
2023-08-18,2346.56
2023-08-19,2714.61
2023-08-20,2546.58
2023-08-21,2345.03
2023-08-22,2590.86
2023-08-23,2399.38
2023-08-24,2486.88
2023-08-25,2432.9
2023-08-26,2373.27
2023-08-27,2507.6
2023-08-28,2296.1
2023-08-29,2220.97
2023-08-30,2176.75
2023-08-31,2316.85
2023-09-01,2346.06
2023-09-02,2470.26
2023-09-03,2404.72
2023-09-04,2205.49
2023-09-05,2180.62
2023-09-06,2205.37
2023-09-07,2157.36
2023-09-08,2213.99
2023-09-09,2368.69
2023-09-10,2289.14
2023-09-11,2182.58
2023-09-12,2130.67
2023-09-13,2181.53
2023-09-14,2212.88
2023-09-15,2177.04
2023-09-16,2341.07
2023-09-17,2161.7
2023-09-18,2104.18
2023-09-19,2147.27
2023-09-20,2167.15
2023-09-21,1978.79
2023-09-22,2110.21
2023-09-23,2334.89
2023-09-24,2215.06
2023-09-25,2062.81
2023-09-26,2097.54
2023-09-27,2072.46
2023-09-28,2097.93
2023-09-29,2041.1
2023-09-30,2188.94
2023-10-01,2105.66
2023-10-02,1996.23
2023-10-03,2101.81
2023-10-04,1977.02
2023-10-05,1971.76
2023-10-06,1937.92
2023-10-07,2182.3
2023-10-08,2043.15
2023-10-09,2026.67
2023-10-10,1871.28
2023-10-11,1854.14
2023-10-12,1947.88
2023-10-13,1934.58
2023-10-14,2090.84
2023-10-15,2145.03
2023-10-16,1870.15
2023-10-17,1931.83
2023-10-18,1816.98
2023-10-19,1984.0
2023-10-20,1927.5
2023-10-21,2063.59
2023-10-22,2029.6
2023-10-23,1795.76
2023-10-24,1826.6
2023-10-25,1887.25
2023-10-26,1840.04
2023-10-27,1846.09
2023-10-28,1872.16
2023-10-29,1990.34
2023-10-30,1765.55
2023-10-31,1729.45
2023-11-01,1799.1
2023-11-02,1658.47
2023-11-03,1858.55
2023-11-04,2016.66
2023-11-05,1940.21
2023-11-06,1711.13
2023-11-07,1711.32
2023-11-08,1771.34
2023-11-09,1586.17
2023-11-10,1791.31
2023-11-11,1977.0
2023-11-12,1896.03
2023-11-13,1728.74
2023-11-14,1780.33
2023-11-15,1791.47
2023-11-16,1848.77
2023-11-17,1760.7
2023-11-18,1852.21
2023-11-19,1868.83
2023-11-20,1768.8
2023-11-21,1877.43
2023-11-22,1726.17
2023-11-23,1666.63
2023-11-24,1680.44
2023-11-25,1731.73
2023-11-26,1925.39
2023-11-27,1639.84
2023-11-28,1649.99
2023-11-29,1590.69
2023-11-30,1659.61
2023-12-01,1794.98
2023-12-02,1795.23
2023-12-03,1760.98
2023-12-04,1766.2
2023-12-05,1725.81
2023-12-06,1789.02
2023-12-07,1815.21
2023-12-08,1756.99
2023-12-09,1805.72
2023-12-10,1901.69
2023-12-11,1803.84
2023-12-12,1719.58
2023-12-13,1653.79
2023-12-14,1859.75
2023-12-15,1741.24
2023-12-16,1894.82
2023-12-17,1932.1
2023-12-18,1866.7
2023-12-19,1808.96
2023-12-20,1764.98
2023-12-21,1850.16
2023-12-22,1971.46
2023-12-23,2065.0
2023-12-24,2012.25
2023-12-25,1723.24
2023-12-26,2117.96
2023-12-27,1726.83
2023-12-28,1798.07
2023-12-29,1777.07
2023-12-30,2118.62
2023-12-31,2027.65
